DATE,YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
4/6/1991,1991,4,6,0,33.4,26.8,30.1,67,3,220
4/7/1991,1991,4,7,0,33,27.2,30.1,71,3,220
4/8/1991,1991,4,8,0,33.2,25.2,29.2,65,3,140
4/9/1991,1991,4,9,0,33,25.8,29.4,62,4,140
4/10/1991,1991,4,10,0,33.8,25,29.4,58,3,160
4/11/1991,1991,4,11,0,33.7,25.8,29.8,55,4,110
4/12/1991,1991,4,12,0,33.8,25.7,29.8,52,4,180
4/13/1991,1991,4,13,0,33.1,25.8,29.5,60,3,90
4/14/1991,1991,4,14,0,33.2,26,29.6,62,2,90
4/15/1991,1991,4,15,0,32.8,25.8,29.3,61,2,90
4/16/1991,1991,4,16,0,35.2,27.2,31.2,56,4,70
4/17/1991,1991,4,17,0.8,34,26.8,30.4,63,3,270
4/18/1991,1991,4,18,0,33.5,28.2,30.9,67,3,140
4/19/1991,1991,4,19,0.2,33,25.4,29.2,68,3,270
4/20/1991,1991,4,20,0,33.8,26.2,30,65,2,90
4/21/1991,1991,4,21,9,32,25.3,28.7,69,2,140
4/22/1991,1991,4,22,2.6,33,26.4,29.7,65,2,90
4/23/1991,1991,4,23,0,33.8,25.8,29.8,60,2,70
4/24/1991,1991,4,24,0,31.8,26.3,29.1,61,3,40
4/25/1991,1991,4,25,0.2,32.1,25.8,29,64,3,320
4/26/1991,1991,4,26,0,34,25.8,29.9,67,4,110
4/27/1991,1991,4,27,0,34.6,27.3,31,61,3,110
4/28/1991,1991,4,28,0,34.7,26.2,30.5,67,3,140
4/29/1991,1991,4,29,0,34,27.1,30.5,70,4,180
4/30/1991,1991,4,30,0,33.5,27,30.3,74,4,180
5/1/1991,1991,5,1,0,32.5,28.3,30.4,77,4,200
5/2/1991,1991,5,2,0,32.8,26.8,29.8,76,5,200
5/3/1991,1991,5,3,16.8,32.8,26.3,29.5,70,3,90
5/4/1991,1991,5,4,0.2,29.8,25.8,27.8,77,3,360
5/5/1991,1991,5,5,0,32,27,29.5,72,3,140
5/6/1991,1991,5,6,0,33.6,27.6,30.6,68,3,140
5/7/1991,1991,5,7,0,34.5,27.6,31,63,3,140
5/8/1991,1991,5,8,0,34.3,27.5,30.9,60,3,140
5/9/1991,1991,5,9,0,33.2,27.4,30.3,65,3,270
5/10/1991,1991,5,10,0,33.3,28.5,30.9,62,3,140
5/11/1991,1991,5,11,0,33.8,28,30.9,62,3,40
5/12/1991,1991,5,12,0,32.2,26.6,29.4,66,3,140
5/13/1991,1991,5,13,0,33,27.2,30.1,73,4,220
5/14/1991,1991,5,14,0,32,27,29.5,76,7,220
5/15/1991,1991,5,15,0,32.5,27,29.8,75,5,220
5/16/1991,1991,5,16,0,33.5,27.2,30.4,73,5,220
5/17/1991,1991,5,17,9,34,26.5,30.3,71,2,200
5/18/1991,1991,5,18,0,34.5,26.3,30.4,66,2,90
5/19/1991,1991,5,19,3.4,31.6,26,28.8,71,2,360
5/20/1991,1991,5,20,0.2,35.5,25.2,30.4,68,2,90
5/21/1991,1991,5,21,0,34.5,27.6,31,62,3,90
5/22/1991,1991,5,22,0,34.8,28.3,31.5,64,3,160
5/23/1991,1991,5,23,0,33,26,29.5,71,3,360
5/24/1991,1991,5,24,0,34,26,30,65,3,90
5/25/1991,1991,5,25,0,34,26.8,30.4,62,4,140
5/26/1991,1991,5,26,0,33.7,26.2,30,64,3,90
5/27/1991,1991,5,27,0,34.2,26.8,30.5,60,3,110
5/28/1991,1991,5,28,0,34.5,27.3,30.9,59,3,140
5/29/1991,1991,5,29,0,32.8,27.7,30.3,63,4,40
5/30/1991,1991,5,30,0,35.4,27.7,31.6,58,4,140
5/31/1991,1991,5,31,0,34.5,27.6,31,61,4,110
6/1/1991,1991,6,1,0,36,27.8,31.9,54,4,90
6/2/1991,1991,6,2,0,34,28.4,31.2,61,3,90
6/3/1991,1991,6,3,1.1,32.7,28.4,30.5,70,3,110
6/4/1991,1991,6,4,4.3,34,26.3,30.2,68,2,90
6/5/1991,1991,6,5,0,34,27.9,31,63,3,110
6/6/1991,1991,6,6,0,34.5,27,30.8,65,3,40
6/7/1991,1991,6,7,0,35,26.8,30.9,62,4,140
6/8/1991,1991,6,8,0,35.5,27.7,31.6,61,4,140
6/9/1991,1991,6,9,0,35.2,27.2,31.2,62,4,160
6/10/1991,1991,6,10,0,34.6,26.8,30.7,65,3,140
6/11/1991,1991,6,11,0,33.8,27.3,30.5,68,3,140
6/12/1991,1991,6,12,0,33,25,29,66,3,220
6/13/1991,1991,6,13,0.4,32,27.4,29.7,73,4,220
6/14/1991,1991,6,14,66,31.4,24,27.7,84,6,220
6/15/1991,1991,6,15,30.2,28,25,26.5,84,9,220
6/16/1991,1991,6,16,10.3,29.8,26.8,28.3,80,5,180
6/17/1991,1991,6,17,6,30,26.3,28.2,82,6,180
6/18/1991,1991,6,18,7.8,30.8,24.6,27.7,79,6,200
6/19/1991,1991,6,19,36.8,30.5,25.4,28,86,5,220
6/20/1991,1991,6,20,25.2,28.6,24.8,26.7,75,4,220
6/21/1991,1991,6,21,0.4,29.8,25.5,27.7,84,2,220
6/22/1991,1991,6,22,0,31.3,25.3,28.3,71,3,180
6/23/1991,1991,6,23,3.6,32.4,25.3,28.9,75,3,220
6/24/1991,1991,6,24,0,31.3,27,29.2,77,4,250
6/25/1991,1991,6,25,0,32.8,27,29.9,73,3,220
6/26/1991,1991,6,26,1,34.5,26,30.3,64,3,350
6/27/1991,1991,6,27,3.2,30.3,25.1,27.7,82,2,40
6/28/1991,1991,6,28,4.2,30,25.8,27.9,79,2,270
6/29/1991,1991,6,29,1,30.6,25.8,28.2,80,2,90
6/30/1991,1991,6,30,1.8,30.5,25.4,28,80,2,20
7/1/1991,1991,7,1,1,33.5,27,30.3,73,3,90
7/2/1991,1991,7,2,4,33.8,25.5,29.6,73,2,250
7/3/1991,1991,7,3,0,32.5,27,29.8,72,3,90
7/4/1991,1991,7,4,0,33,26,29.5,69,2,90
7/5/1991,1991,7,5,0,33.6,27.6,30.6,68,3,320
7/6/1991,1991,7,6,0,34.6,27.7,31.2,65,2,180
7/7/1991,1991,7,7,0,33.4,27.2,30.3,64,2,270
7/8/1991,1991,7,8,3.1,33.1,27.2,30.2,75,2,320
7/9/1991,1991,7,9,29.2,33.5,25.5,29.5,78,3,360
7/10/1991,1991,7,10,3.8,28.6,25.5,27,81,5,90
7/11/1991,1991,7,11,14.8,30,26,28,79,3,140
7/12/1991,1991,7,12,15.8,31,24.8,27.9,82,3,90
7/13/1991,1991,7,13,23.6,31,26.4,28.7,73,2,360
7/14/1991,1991,7,14,2.2,31.5,28,29.8,75,2,180
7/15/1991,1991,7,15,0.1,32.7,27.5,30.1,77,2,40
7/16/1991,1991,7,16,0,32,27.8,29.9,73,3,360
7/17/1991,1991,7,17,0,33,28,30.5,71,5,270
7/18/1991,1991,7,18,5.2,30.7,26.7,28.7,82,5,220
7/19/1991,1991,7,19,16.2,30.2,26,28.1,86,5,220
7/20/1991,1991,7,20,4.6,30.8,26.2,28.5,82,4,180
7/21/1991,1991,7,21,17.8,29,25.4,27.2,83,4,220
7/22/1991,1991,7,22,8.5,28.8,26.8,27.8,82,7,220
7/23/1991,1991,7,23,13,30.5,25.4,28,82,4,200
7/24/1991,1991,7,24,11.9,31,25,28,87,3,220
7/25/1991,1991,7,25,7,30.2,25.2,27.7,87,6,220
7/26/1991,1991,7,26,174.8,27.5,23.5,25.5,91,4,270
7/27/1991,1991,7,27,9.9,28.5,26.2,27.4,87,2,140
7/28/1991,1991,7,28,0,31.2,28,29.6,75,2,200
7/29/1991,1991,7,29,0,31.2,27.5,29.4,77,4,220
7/30/1991,1991,7,30,0,32.2,27.5,29.9,74,3,220
7/31/1991,1991,7,31,0,31.8,25.4,28.6,75,3,320
8/1/1991,1991,8,1,9,28.7,25.3,27,82,2,340
8/2/1991,1991,8,2,0,29,26.2,27.6,79,3,140
8/3/1991,1991,8,3,4,30.8,25.6,28.2,79,3,220
8/4/1991,1991,8,4,59.4,30,24.7,27.4,82,2,140
8/5/1991,1991,8,5,2.6,28.2,25.6,26.9,87,3,180
8/6/1991,1991,8,6,0,29.2,27,28.1,80,3,220
8/7/1991,1991,8,7,0,31,27.5,29.3,80,4,220
8/8/1991,1991,8,8,0.4,31.8,27.5,29.7,74,4,270
8/9/1991,1991,8,9,0.6,31.4,27,29.2,78,4,220
8/10/1991,1991,8,10,8,31,26,28.5,82,3,220
8/11/1991,1991,8,11,13.2,29.5,25.6,27.5,84,4,200
8/12/1991,1991,8,12,19.3,28,25.8,26.9,89,3,180
8/13/1991,1991,8,13,36.1,26.3,24.5,25.4,92,3,250
8/14/1991,1991,8,14,31,29,23,26,85,4,220
8/15/1991,1991,8,15,31.8,29,24,26.5,91,3,200
8/16/1991,1991,8,16,81,27,23,25,93,3,140
8/17/1991,1991,8,17,125,26.8,24.8,25.8,93,4,200
8/18/1991,1991,8,18,42.6,26.2,23.4,24.8,94,4,220
8/19/1991,1991,8,19,72.1,27.8,24.8,26.3,91,4,220
8/20/1991,1991,8,20,40,27.5,24.8,26.2,94,2,220
8/21/1991,1991,8,21,18.8,27,24.8,25.9,88,3,180
8/22/1991,1991,8,22,16.4,28,26.2,27.1,91,4,220
8/23/1991,1991,8,23,6.6,30.4,26.2,28.3,88,4,180
8/24/1991,1991,8,24,33.4,29,26,27.5,88,4,220
8/25/1991,1991,8,25,28.6,28.8,24.9,26.9,90,4,200
8/26/1991,1991,8,26,4.6,30.3,25.8,28.1,87,3,220
8/27/1991,1991,8,27,0.4,29.5,26,27.8,88,4,250
8/28/1991,1991,8,28,3.2,30,26.8,28.4,84,3,180
8/29/1991,1991,8,29,14,30,25.6,27.8,90,4,200
8/30/1991,1991,8,30,3.2,29.6,26,27.8,86,3,220
8/31/1991,1991,8,31,8.6,29.3,26.5,27.9,88,2,360
9/1/1991,1991,9,1,8.8,31,25.2,28.1,82,4,200
9/2/1991,1991,9,2,9.2,30,25,27.5,86,3,180
9/3/1991,1991,9,3,14,28.5,25.5,27,83,4,180
9/4/1991,1991,9,4,41,29.6,24.6,27.1,87,3,220
9/5/1991,1991,9,5,0,31.2,27.5,29.4,78,3,220
9/6/1991,1991,9,6,0,31,28.5,29.8,78,4,220
9/7/1991,1991,9,7,11,31,25.1,28,82,4,180
9/8/1991,1991,9,8,0.4,29.8,26,27.9,84,4,200
9/9/1991,1991,9,9,1.8,29.5,26,27.8,83,3,220
9/10/1991,1991,9,10,8.6,29.8,26.2,28,84,2,270
9/11/1991,1991,9,11,10.8,30.8,26.8,28.8,81,3,220
9/12/1991,1991,9,12,15.2,31.5,26.5,29,82,4,220
9/13/1991,1991,9,13,24.2,31,26.5,28.8,82,3,220
9/14/1991,1991,9,14,22.4,31.5,24.6,28,80,3,220
9/15/1991,1991,9,15,1.8,31.2,26.3,28.8,77,3,180
9/16/1991,1991,9,16,33,29,26,27.5,89,5,220
9/17/1991,1991,9,17,26,30.8,27,28.9,82,6,200
9/18/1991,1991,9,18,14.2,29.6,25.4,27.5,84,7,200
9/19/1991,1991,9,19,17.6,30.1,25.4,27.8,86,5,250
9/20/1991,1991,9,20,0,29.3,26,27.7,84,3,250
9/21/1991,1991,9,21,0,29.8,26,27.9,80,2,360
9/22/1991,1991,9,22,0,29.4,26.2,27.8,79,3,200
9/23/1991,1991,9,23,0,30.8,27,28.9,81,4,220
9/24/1991,1991,9,24,21.8,30,26,28,83,5,220
9/25/1991,1991,9,25,7.8,29,26,27.5,82,5,220
9/26/1991,1991,9,26,0.8,31,27,29,82,5,200
9/27/1991,1991,9,27,13,30.3,25.8,28.1,83,3,200
9/28/1991,1991,9,28,1.4,29.5,26,27.8,77,3,180
9/29/1991,1991,9,29,0,30.2,25.7,28,76,4,180
9/30/1991,1991,9,30,0.6,30,25.3,27.7,77,4,220
10/1/1991,1991,10,1,0,31,26,28.5,78,3,220
10/2/1991,1991,10,2,0.2,31.7,26,28.9,76,2,270
10/3/1991,1991,10,3,1,30.5,26.2,28.4,76,2,320
10/4/1991,1991,10,4,59.6,31.5,25.5,28.5,78,3,220
10/5/1991,1991,10,5,0,31.3,25,28.2,77,2,220
10/6/1991,1991,10,6,0,31.2,25.2,28.2,74,2,270
10/7/1991,1991,10,7,0,31,26.7,28.9,76,4,220
10/8/1991,1991,10,8,0,31,26.5,28.8,71,3,250
10/9/1991,1991,10,9,0,32,26.3,29.2,73,3,220
10/10/1991,1991,10,10,0,31.6,26.5,29,74,2,220
10/11/1991,1991,10,11,0,31.5,26.5,29,71,2,220
10/12/1991,1991,10,12,0,31,26.8,28.9,75,3,220
10/13/1991,1991,10,13,0,32,27,29.5,71,3,90
10/14/1991,1991,10,14,0,31.5,25.5,28.5,74,2,40
10/15/1991,1991,10,15,0,28.9,25.5,27.2,75,2,90
10/16/1991,1991,10,16,0,30.8,25,27.9,70,3,110
10/17/1991,1991,10,17,0,31.5,24.5,28,67,3,200
10/18/1991,1991,10,18,0,32.5,25.7,29.1,65,2,200
10/19/1991,1991,10,19,0,31,25,28,69,2,270
10/20/1991,1991,10,20,8.6,32,23.9,28,67,2,360
10/21/1991,1991,10,21,0.2,31,24.9,28,73,4,360
10/22/1991,1991,10,22,7,27.6,25.5,26.5,81,1,40
10/23/1991,1991,10,23,0,31.4,25.2,28.3,68,3,360
10/24/1991,1991,10,24,0,33.2,25.5,29.4,69,2,40
10/25/1991,1991,10,25,0,30.3,25.7,28,74,2,360
10/26/1991,1991,10,26,0,31,27.7,29.4,70,5,270
10/27/1991,1991,10,27,0,29,25.9,27.5,76,13,220
10/28/1991,1991,10,28,3,28.2,24.9,26.5,79,10,220
10/29/1991,1991,10,29,0,29,26.8,27.9,81,6,220
10/30/1991,1991,10,30,0,30,25.2,27.6,79,5,200
10/31/1991,1991,10,31,0,30.8,25,27.9,73,4,360
11/1/1991,1991,11,1,0,27.2,23.8,25.5,81,2,180
11/2/1991,1991,11,2,0.2,28.8,23,25.9,69,1,180
11/3/1991,1991,11,3,0,29.3,23.4,26.4,75,2,140
11/4/1991,1991,11,4,0,30.6,24,27.3,69,2,290
11/5/1991,1991,11,5,0,31.6,26,28.8,69,3,360
11/6/1991,1991,11,6,2,33,25.1,29,70,3,40
11/7/1991,1991,11,7,5.6,27.2,25,26.1,87,2,320
11/8/1991,1991,11,8,0,30,23,26.5,71,2,90
11/9/1991,1991,11,9,0.2,30,25.4,27.7,65,1,180
11/10/1991,1991,11,10,0,29,22.7,25.9,71,2,200
11/11/1991,1991,11,11,0,28,23,25.5,68,3,290
11/12/1991,1991,11,12,0,28.8,23.7,26.3,71,3,340
11/13/1991,1991,11,13,0,29,24.3,26.7,74,3,360
11/14/1991,1991,11,14,0,30,24.9,27.5,74,3,250
11/15/1991,1991,11,15,0,30,25.6,27.8,70,2,360
11/16/1991,1991,11,16,27.6,30,22.5,26.3,78,5,360
11/17/1991,1991,11,17,6.6,27.3,23.5,25.4,86,5,140
11/18/1991,1991,11,18,0,32.8,25.3,29,72,2,180
11/19/1991,1991,11,19,8.4,31.2,24.8,28,78,2,360
11/20/1991,1991,11,20,0,33.5,25.5,29.5,68,3,40
11/21/1991,1991,11,21,0.2,31.3,24.6,28,69,2,40
11/22/1991,1991,11,22,0,30.5,25,27.8,70,2,360
11/23/1991,1991,11,23,1.6,31.3,23.8,27.6,67,3,360
11/24/1991,1991,11,24,19.4,29,25,27,79,2,360
11/25/1991,1991,11,25,0,31.5,24.7,28.1,73,2,340
11/26/1991,1991,11,26,2.2,30,25.2,27.6,76,2,250
11/27/1991,1991,11,27,1.6,30,25,27.5,78,2,360
11/28/1991,1991,11,28,1,29.8,24.5,27.2,77,2,180
11/29/1991,1991,11,29,0,29,24.5,26.8,78,2,220
11/30/1991,1991,11,30,0,29.7,25.2,27.5,81,3,140
12/1/1991,1991,12,1,0,28.8,22,25.4,74,2,140
12/2/1991,1991,12,2,0,28.8,22,25.4,72,2,360
12/3/1991,1991,12,3,0,27.8,23,25.4,72,3,40
12/4/1991,1991,12,4,0,28.5,22.6,25.5,68,2,360
12/5/1991,1991,12,5,0,28.5,20.8,24.7,63,2,270
12/6/1991,1991,12,6,0,29.7,24.1,26.9,67,2,40
12/7/1991,1991,12,7,0,32,23.5,27.8,68,2,360
12/8/1991,1991,12,8,0,29.1,24,26.5,72,2,350
12/9/1991,1991,12,9,0,30.1,23.5,26.8,64,4,360
12/10/1991,1991,12,10,1,28.6,24.8,26.7,72,3,360
12/11/1991,1991,12,11,2,26.2,24.8,25.5,80,1,90
12/12/1991,1991,12,12,0,29.3,24.4,26.9,69,2,40
12/13/1991,1991,12,13,1.6,29.2,24.8,27,72,2,360
12/14/1991,1991,12,14,0,31,24.3,27.7,61,3,360
12/15/1991,1991,12,15,0,30.2,24.3,27.3,61,2,360
12/16/1991,1991,12,16,0,29,24,26.5,70,2,70
12/17/1991,1991,12,17,0,31,22,26.5,65,3,140
12/18/1991,1991,12,18,0,28.3,24,26.2,68,2,270
12/19/1991,1991,12,19,0,29.2,25.2,27.2,73,2,360
12/20/1991,1991,12,20,0,31,23,27,68,2,360
12/21/1991,1991,12,21,0,30.5,24,27.3,63,2,360
12/22/1991,1991,12,22,0,28,23.7,25.9,67,3,360
12/23/1991,1991,12,23,0.6,31,23.6,27.3,67,2,360
12/24/1991,1991,12,24,0,31,23.2,27.1,69,2,40
12/25/1991,1991,12,25,0,30.1,23.6,26.9,70,2,140
12/26/1991,1991,12,26,0,28.9,24.4,26.6,74,2,270
12/27/1991,1991,12,27,0,29,24.8,26.9,75,2,270
12/28/1991,1991,12,28,0,30.3,24.7,27.5,72,2,360
12/29/1991,1991,12,29,0,30,24.5,27.3,75,3,140
12/30/1991,1991,12,30,0,28.8,24.8,26.8,70,2,250
12/31/1991,1991,12,31,0,29.5,23,26.3,69,2,250
1/1/1992,1992,1,1,0,28.4,22.5,25.5,70,2,360
1/2/1992,1992,1,2,0,29.2,22.1,25.7,71,2,40
1/3/1992,1992,1,3,0,30.1,24.5,27.3,67,2,40
1/4/1992,1992,1,4,0,31.5,21.3,26.4,62,2,40
1/5/1992,1992,1,5,0.8,27.5,18.2,22.9,82,2,360
1/6/1992,1992,1,6,0,28.5,22.7,25.6,76,3,320
1/7/1992,1992,1,7,1,29.2,23,26.1,78,2,220
1/8/1992,1992,1,8,0,29.9,22.9,26.4,75,2,90
1/9/1992,1992,1,9,0,30.5,22,26.3,71,2,270
1/10/1992,1992,1,10,1,27.5,22.4,25,76,3,360
1/11/1992,1992,1,11,0,28.8,23.6,26.2,67,2,90
1/12/1992,1992,1,12,0,29,22.6,25.8,66,2,320
1/13/1992,1992,1,13,0,28,23,25.5,71,3,360
1/14/1992,1992,1,14,0.8,28,21.7,24.9,74,3,360
1/15/1992,1992,1,15,0,28,21.6,24.8,73,3,360
1/16/1992,1992,1,16,1,28,22.4,25.2,73,3,360
1/17/1992,1992,1,17,0,28.5,22.8,25.7,76,3,340
1/18/1992,1992,1,18,0,28.3,23.1,25.7,66,2,270
1/19/1992,1992,1,19,0,28.4,23.1,25.8,71,2,360
1/20/1992,1992,1,20,0,28.4,23.8,26.1,75,3,320
1/21/1992,1992,1,21,0,29,24.5,26.8,68,2,250
1/22/1992,1992,1,22,0,28.5,24,26.3,69,3,320
1/23/1992,1992,1,23,0,29.5,23.6,26.5,68,2,270
1/24/1992,1992,1,24,0,30,24.9,27.5,78,3,220
1/25/1992,1992,1,25,0,29.2,22.3,25.8,68,4,360
1/26/1992,1992,1,26,0,29.5,21.9,25.7,69,4,360
1/27/1992,1992,1,27,0,28,23,25.5,75,3,110
1/28/1992,1992,1,28,0,28.7,24,26.4,70,3,40
1/29/1992,1992,1,29,0,29.2,23.8,26.5,75,3,180
1/30/1992,1992,1,30,0,30.8,25.2,28,68,3,250
1/31/1992,1992,1,31,0,31,23.9,27.5,71,3,360
2/1/1992,1992,2,1,0,28.2,23.8,26,68,2,270
2/2/1992,1992,2,2,0,30.7,24.6,27.7,68,2,90
2/3/1992,1992,2,3,0,29.9,25,27.5,68,3,270
2/4/1992,1992,2,4,0,29,24.4,26.7,70,3,360
2/5/1992,1992,2,5,0,31.1,25.5,28.3,74,3,90
2/6/1992,1992,2,6,0,32,24.2,28.1,67,4,90
2/7/1992,1992,2,7,0,31.4,24,27.7,56,3,140
2/8/1992,1992,2,8,0,29.2,24.9,27,74,2,90
2/9/1992,1992,2,9,0,31,24,27.5,73,3,70
2/10/1992,1992,2,10,0,30.4,24.8,27.6,66,2,270
2/11/1992,1992,2,11,0,33.3,24,28.6,61,3,140
2/12/1992,1992,2,12,0,33,24.8,28.9,62,3,160
2/13/1992,1992,2,13,0,31.9,24,28,63,2,270
2/14/1992,1992,2,14,0,31.4,25.4,28.4,67,3,140
2/15/1992,1992,2,15,0,31,26,28.5,71,3,290
2/16/1992,1992,2,16,0,32.3,25.5,28.9,74,2,270
2/17/1992,1992,2,17,0,33.5,26,29.8,64,3,110
2/18/1992,1992,2,18,0,32.5,25.5,29,72,3,270
2/19/1992,1992,2,19,0,34,25.6,29.8,69,3,180
2/20/1992,1992,2,20,0,31,24.4,27.7,69,3,360
2/21/1992,1992,2,21,0,28,24.8,26.4,71,2,140
